"community,price,area,layout,site,total_height,toward,built_year"
"云顶澜山,275,146.0,4室2厅,高,24.0,南北,2024-01-01"
"五洲花城三期,700,139.85,5室2厅,中,39.0,南北,2016-01-01"
"五洲花城三期,830,166.54,5室2厅,低,32.0,南,2016-01-01"
"中铁·诺德国际,445,142.18,4室2厅,低,32.0,南北,2018-01-01"
"绿景喜悦荟,110,47.0,1室1厅,高,32.0,东南,2019-01-01"
"铭泰华府,530,126.0,4室2厅,高,17.0,南北,2016-01-01"
"恒雅名园,88,59.41,2室2厅,高,7.0,南,2003-01-01"
"欧柏美地,490,134.21,3室2厅,高,19.0,南,2007-01-01"
"金地伊顿山,250,66.32,2室2厅,顶,28.0,东,2011-01-01"
"仁恒星园,430,162.7,3室2厅,高,30.0,南,2011-01-01"
"珠光锦程,220,110.0,3室2厅,中,17.0,南北,2020-01-01"
"恒荣城市溪谷,670,165.0,4室2厅,高,37.0,南北,2018-01-01"
"珠光锦程,168,85.0,2室2厅,低,23.0,南,2020-01-01"
"正方南湾首府,248,99.0,4室2厅,低,32.0,南北,2013-01-01"
"乐而居花园,186,113.99,3室2厅,中,26.0,南北,2020-01-01"
"琴澳新城四季半岛钻石,191,75.0,2室2厅,中,32.0,东,2020-01-01"
"绿景玺悦湾,550,143.0,4室2厅,低,32.0,南,2021-01-01"
"绿景玺悦湾,482,165.5,4室2厅,低,32.0,南,2021-01-01"
"中海寰宇天下,399,115.0,3室2厅,高,22.0,东南,2019-01-01"
"中信红树湾花园,888,295.98,4室2厅,低,44.0,南北,2018-01-01"
"双瑞藏龙湾花园,182,75.0,2室2厅,低,47.0,西南,2021-01-01"
"中信红树湾花园,455,159.37,5室2厅,高,32.0,东南,2011-01-01"
"琴澳新城四季半岛钻石,412,155.0,4室2厅,中,31.0,南北,2020-01-01"
"中信红树湾花园,735,210.95,5室3厅,中,44.0,南北,2012-01-01"
"国维中央广场,80,37.0,1室2厅,低,33.0,南北,2019-01-01"
"五洲花城三期,627,142.0,4室2厅,低,32.0,北,2021-01-01"
"中海寰宇天下,368,105.0,3室2厅,高,22.0,南北,2020-01-01"
"中海寰宇天下,450,127.0,4室2厅,中,22.0,南北,2018-01-01"
"海湾花园,209,142.98,3室2厅,中,25.0,北,2018-01-01"
"绿景玺悦湾,443,143.0,4室2厅,低,32.0,南,2021-01-01"
"华发琴澳新城·银景湾,196,72.0,2室2厅,中,30.0,南,2020-01-01"
"正方深悦湾花园,195,89.0,3室2厅,高,28.0,南,2022-01-01"
"正方南湾首府,248,99.0,4室2厅,低,32.0,南北,2013-01-01"
"中海寰宇天下,271,86.0,3室2厅,中,31.0,南北,2020-01-01"
"正方南湾首府,318,115.0,4室2厅,低,32.0,南,2020-01-01"
"琴澳新城四季半岛钻石,412,155.0,4室2厅,中,31.0,南北,2020-01-01"
"琴澳新城四季半岛钻石,399,141.0,3室2厅,中,31.0,南北,2020-01-01"
"中海寰宇天下,455,136.0,4室2厅,中,31.0,南北,2020-01-01"
"正方南湾首府,200,85.0,3室2厅,低,32.0,南北,2018-01-01"
"绿景玺悦湾,550,143.0,4室2厅,低,32.0,南,2021-01-01"
"绿景玺悦湾,590,165.5,4室2厅,低,32.0,南,2021-01-01"
"琴澳新城四季半岛钻石,399,141.0,3室2厅,中,31.0,南北,2020-01-01"
"中海寰宇天下,321,99.0,3室2厅,高,22.0,东南,2020-01-01"
"中信红树湾花园,735,210.95,5室3厅,中,44.0,南北,2012-01-01"
"中信红树湾花园,535,159.55,4室2厅,高,31.0,南北,2012-01-01"
"中海寰宇天下,450,127.0,4室2厅,中,22.0,南北,2018-01-01"
"海湾花园,169,98.36,2室1厅,高,29.0,东北,2018-01-01"
"绿景玺悦湾,482,165.5,4室2厅,低,32.0,南,2021-01-01"
"鹏瑞·珠澳湾中心,135,65.0,1室1厅,低,42.0,南,2022-01-01"
"中信红树湾花园,455,159.37,5室2厅,高,32.0,东南,2011-01-01"
"中海寰宇天下,273,86.93,3室2厅,高,22.0,南,2020-01-01"
"格力海云居,100,69.0,2室2厅,中,25.0,南北,2020-01-01"
"珠光锦程,220,110.0,3室2厅,中,17.0,南北,2020-01-01"
"中海寰宇天下,968,218.0,4室2厅,中,18.0,南北,2020-01-01"
"琴澳新城四季半岛钻石,288,99.0,3室2厅,中,31.0,南,2020-01-01"
"海湾花园,145,94.35,2室2厅,高,16.0,北,2018-01-01"
"中海寰宇天下,271,86.0,3室2厅,中,31.0,南北,2020-01-01"
"中信红树湾花园,888,295.98,4室2厅,低,44.0,南北,2018-01-01"
"琴澳新城四季半岛钻石,399,142.72,4室2厅,中,31.0,南,2020-01-01"
"绿景玺悦湾,620,188.0,4室2厅,中,30.0,南北,2021-01-01"
"恒荣城市溪谷,660,165.0,4室2厅,高,37.0,南北,2018-01-01"
"乐而居花园,188,113.9,3室2厅,低,31.0,东南,2020-01-01"
"恒荣城市溪谷,490,139.0,4室2厅,高,37.0,南北,2018-01-01"
"正方深悦湾花园,226,99.0,4室2厅,中,12.0,南,2021-01-01"
"绿景玺悦湾,470,120.0,3室2厅,中,31.0,南,2021-01-01"
"格力海云居,87,49.0,1室1厅,低,25.0,南北,2020-01-01"
"琴澳新城四季半岛钻石,415,144.5,4室2厅,中,31.0,南,2020-01-01"
"海湾花园,209,142.98,3室2厅,中,25.0,北,2018-01-01"
"国维中央广场,230,73.07,2室2厅,高,19.0,南北,2019-01-01"
"中海寰宇天下,455,136.0,4室2厅,中,31.0,南北,2020-01-01"
"中海寰宇天下,399,115.0,3室2厅,高,22.0,东南,2019-01-01"
"乐而居花园,186,113.99,3室2厅,中,26.0,南北,2020-01-01"
"正方深悦湾花园,310,125.0,5室2厅,中,22.0,南北,2020-01-01"
"琴澳新城四季半岛钻石,412,155.0,4室2厅,中,31.0,南北,2020-01-01"
"海湾花园,199,134.46,3室2厅,中,29.0,东南,2018-01-01"
"正方南湾首府,318,115.0,4室2厅,低,32.0,南,2020-01-01"
"珠光锦程,168,85.0,2室2厅,低,23.0,南,2020-01-01"
"华发琴澳新城·银景湾,205,75.0,2室2厅,中,31.0,南,2020-01-01"
"绿景玺悦湾,482,165.0,4室2厅,低,32.0,南北,2021-01-01"
"恒荣城市溪谷,355,118.0,4室2厅,高,37.0,南北,2018-01-01"
"双瑞藏龙湾花园,182,75.0,2室2厅,低,47.0,西南,2021-01-01"
"海湾花园,175,101.0,3室2厅,中,29.0,南,2018-01-01"
"国维中央广场,80,37.0,1室2厅,低,33.0,南北,2019-01-01"
"双瑞藏龙湾花园,437,143.0,4室2厅,低,45.0,南北,2019-01-01"
"恒荣城市溪谷,300,98.0,3室2厅,高,37.0,南北,2018-01-01"
"中海寰宇天下,470,129.0,4室2厅,中,22.0,东,2021-01-01"
"招商花园城二期,209,85.76,3室2厅,中,17.0,东,2010-01-01"
"琴澳新城四季半岛钻石,399,141.0,3室2厅,中,31.0,南,2020-01-01"
"琴澳新城四季半岛钻石,412,155.0,4室2厅,中,31.0,南北,2020-01-01"
"绿景玺悦湾,888,225.0,4室2厅,中,32.0,南北,2019-01-01"
"绿景玺悦湾,443,143.0,4室2厅,低,19.0,南,2021-01-01"
"正方深悦湾花园,170,77.0,3室2厅,低,25.0,南,2021-01-01"
"琴澳新城四季半岛钻石,272,99.63,3室2厅,中,31.0,南,2020-01-01"
"华发琴澳新城·银景湾,196,72.0,2室2厅,中,30.0,南,2020-01-01"
"国维中央广场,219,75.0,2室2厅,中,34.0,南,2020-01-01"
"正方南湾首府,170,76.0,3室2厅,低,32.0,南北,2018-01-01"
"双瑞藏龙湾花园,320,126.0,4室2厅,低,47.0,南北,2021-01-01"
"中海寰宇天下,450,127.0,4室2厅,中,22.0,南北,2018-01-01"
"双瑞藏龙湾花园,185,75.0,2室2厅,中,47.0,南,2021-01-01"
"琴澳新城四季半岛钻石,412,155.0,4室2厅,中,31.0,南北,2020-01-01"
"五洲花城,600,134.0,4室2厅,中,32.0,北,2019-01-01"
"双瑞藏龙湾花园,450,143.18,4室2厅,低,45.0,南北,2019-01-01"
"龙光·玖榕湾,252,106.35,3室2厅,低,32.0,南北,2020-01-01"
"华发四季半岛钻石湾,499,177.0,4室2厅,中,31.0,南北,2020-01-01"
"绿景玺悦湾,550,165.0,4室2厅,中,30.0,南北,2020-01-01"
"万菱情侣湾一号,999,194.26,3室2厅,中,38.0,南北,2019-01-01"
"华发四季峰景,230,89.89,3室2厅,中,46.0,南,2021-01-01"
"正方云曦山,200,98.0,4室2厅,中,32.0,南北,2021-01-01"
"中安广场,98,61.0,1室1厅,中,26.0,北,2020-01-01"
"都会四季,144,68.0,2室2厅,中,28.0,东南,2021-01-01"
"正方南湾首府,500,185.0,3室2厅,低,32.0,南北,2018-01-01"
"绿景玺悦湾,438,143.0,4室2厅,中,32.0,南,2021-01-01"
"正方南湾首府,600,173.0,5室2厅,低,32.0,南北,2018-01-01"
"中海寰宇天下,312,97.0,3室2厅,中,22.0,东南,2020-01-01"
"万科瑧湾府,429,99.0,3室2厅,中,32.0,南北,2016-01-01"
"双瑞藏龙湾花园,263,80.56,2室2厅,低,45.0,南,2019-01-01"
"中星广场,44,40.0,2室1厅,中,37.0,南北,1998-01-01"
"中海寰宇天下,900,218.0,4室2厅,高,20.0,南北,2020-01-01"
"华发·湾玺壹号,580,169.0,5室2厅,低,9.0,南北,2020-01-01"
"利腾金力湾住宅,157,62.7,2室2厅,高,23.0,南,2017-01-01"
"中海寰宇天下,460,139.0,4室2厅,高,25.0,南北,2020-01-01"
"恒荣城市溪谷,238,98.0,3室2厅,中,37.0,南北,2020-01-01"
"中海寰宇天下,580,169.0,4室2厅,中,20.0,南北,2021-01-01"
"国维中央广场,72,37.0,1室2厅,中,32.0,南北,2020-01-01"
"中海寰宇天下,980,218.0,4室2厅,中,20.0,南北,2020-01-01"
"绿景玺悦湾,420,120.0,3室2厅,中,31.0,南北,2020-01-01"
"国维中央广场,83,45.4,1室2厅,低,33.0,南北,2019-01-01"
"中海寰宇天下,780,218.0,4室2厅,中,18.0,南北,2020-01-01"
"国维中央广场,125,69.0,1室2厅,高,33.0,南北,2019-01-01"
"中海寰宇天下,290,86.0,3室2厅,中,31.0,南北,2020-01-01"
"仁恒星园,262,94.7,3室1厅,高,30.0,南,2012-01-01"
"华发琴澳新城四季峰景,340,142.4,4室2厅,中,34.0,南北,2020-01-01"
"万菱情侣湾一号,1099,194.0,4室2厅,中,38.0,南北,2020-01-01"
"龙光玖云汇住宅,190,103.83,3室2厅,低,32.0,南北,2018-01-01"
"恒荣城市溪谷,298,118.0,4室2厅,中,37.0,南北,2020-01-01"
"中海寰宇天下,445,137.0,4室2厅,高,25.0,南北,2020-01-01"
"国维中央广场,370,148.87,4室2厅,中,46.0,南北,2022-01-01"
"万菱情侣湾一号,1490,345.0,5室2厅,高,38.0,南北,2017-01-01"
"绿景玺悦湾,510,165.0,4室2厅,中,30.0,南北,2021-01-01"
"中海寰宇天下,670,169.0,4室2厅,中,25.0,南北,2020-01-01"
"正方深悦湾花园,209,99.0,4室2厅,中,25.0,南北,2022-01-01"
"中邦浪琴湾,120,78.41,2室2厅,高,30.0,南,2015-01-01"
"绿湖山庄,267,99.0,3室2厅,低,31.0,南,2016-01-01"
"盛东·江山赋,560,161.47,4室2厅,低,17.0,南北,2019-01-01"
"绿景玺悦湾,556,165.0,4室2厅,中,30.0,南北,2021-01-01"
"湾仔天一居,780,203.92,4室2厅,中,38.0,南北,2020-01-01"
"华发四季峰景,235,89.0,3室2厅,中,31.0,南,2020-01-01"
"正方深悦湾花园,139,67.0,2室1厅,中,25.0,南北,2021-01-01"
"万菱情侣湾一号,940,193.11,4室2厅,低,39.0,南北,2017-01-01"
"御景国际花园,245,87.34,3室2厅,中,31.0,东南,2018-01-01"
"琴澳新城四季半岛钻石,415,141.0,3室2厅,中,31.0,南北,2020-01-01"
"正方南湾首府,209,85.0,3室2厅,低,32.0,南北,2018-01-01"
"万菱情侣湾一号,1782,315.75,5室2厅,中,36.0,南北,2020-01-01"
"绿景喜悦荟,108,47.0,1室1厅,高,32.0,东南,2019-01-01"
"华发峰景湾,235,98.19,3室2厅,低,39.0,南北,2017-01-01"
"仁恒星园,262,94.7,3室1厅,高,30.0,南,2012-01-01"
"中海寰宇天下,430,127.0,4室2厅,低,22.0,南北,2020-01-01"
"龙光·玖榕湾,252,106.35,3室2厅,低,32.0,南北,2020-01-01"
"正方深悦湾花园,155,67.0,2室1厅,中,25.0,南,2022-01-01"
"中海寰宇天下,249,79.0,3室2厅,低,22.0,东南,2020-01-01"
"正方深悦湾花园,180,77.0,3室2厅,低,25.0,南,2022-01-01"
"双瑞藏龙湾花园,349,125.0,4室2厅,低,32.0,南北,2021-01-01"
"岭秀城,379,150.0,4室2厅,高,26.0,南北,2018-01-01"
"华发琴澳新城四季峰景,208,89.0,3室2厅,低,32.0,南,2020-01-01"
"华发峰景湾,175,75.67,2室2厅,低,39.0,东,2017-01-01"
"四季半岛钻石湾,470,169.0,5室2厅,低,9.0,南北,2000-01-01"
"盛东·江山赋,698,275.72,5室2厅,高,39.0,南北,2019-01-01"
"都会四季,209,99.0,4室2厅,中,28.0,南北,2019-01-01"
"华发世纪城四期,301,153.43,4室2厅,低,31.0,东南,2018-01-01"
"中安广场,99,61.0,1室1厅,中,26.0,北,2020-01-01"
"中海环宇城,380,122.0,3室2厅,中,44.0,西南,2021-01-01"
"天宸,660,251.0,3室2厅,高,37.0,南北,2017-01-01"
"华发广场,370,89.0,3室2厅,高,26.0,南北,2020-01-01"
"绿景玺悦湾,950,225.0,4室2厅,中,32.0,南北,2019-01-01"
"都会四季,168,79.0,3室2厅,中,28.0,东南,2019-01-01"
"利腾金力湾住宅,107,43.0,1室1厅,中,26.0,南,2019-01-01"
"双瑞藏龙湾花园,350,125.0,4室2厅,低,32.0,南北,2021-01-01"
"华发峰景湾,231,97.97,3室2厅,低,38.0,南北,2017-01-01"
"龙光玖龙湾,298,99.27,3室2厅,低,25.0,东南,2018-01-01"
"五洲花城二期,800,185.51,4室2厅,中,32.0,南北,2012-01-01"
"华发琴澳新城四季峰景,246,89.0,3室2厅,中,31.0,南,2020-01-01"
"珠光锦程华园,160,85.0,2室2厅,低,23.0,南,2020-01-01"
"恒虹世纪广场,259,120.17,3室1厅,中,41.0,北,2018-01-01"
"万科琴澳传奇,300,105.0,4室1厅,高,7.0,南北,2023-01-01"
"山东健康·家人乐府,298,125.0,4室2厅,低,15.0,南,2022-01-01"
"九洲假日,80,43.92,1室1厅,低,25.0,北,2018-01-01"
"凤山府,210,91.09,3室2厅,中,26.0,南,2019-01-01"
"恒虹世纪广场,389,166.74,3室1厅,高,41.0,南,2018-01-01"
"富力新天地,216,92.0,2室2厅,底,6.0,西,2006-01-01"
"天一居,772,177.26,3室2厅,中,29.0,南北,2015-01-01"
"龙光·玖榕湾,300,130.0,4室2厅,高,32.0,南北,2020-01-01"
"中海寰宇天下,290,86.0,3室2厅,中,31.0,南北,2020-01-01"
"正方云曦山,219,98.0,4室2厅,中,32.0,南北,2021-01-01"
"恒荣城市溪谷,298,118.0,4室2厅,中,37.0,南北,2020-01-01"
"华景西苑二期,153,82.0,2室2厅,中,5.0,西南,2018-01-01"
"正方深悦湾花园,310,127.0,5室2厅,中,22.0,南北,2020-01-01"
"正方深悦湾花园,173,77.0,3室2厅,中,25.0,南,2021-01-01"
"琴澳新城四季半岛钻石,288,99.0,3室2厅,高,31.0,南,2020-01-01"
"万和国际公馆二期,950,290.0,5室3厅,底,1.0,南北,2009-01-01"
"国维中央广场,121,67.9,1室2厅,低,33.0,南北,2019-01-01"
"恒荣城市溪谷,240,98.0,3室2厅,高,37.0,南北,2018-01-01"
"乐而居花园,230,113.9,3室2厅,中,31.0,南,2017-01-01"
"中信红树湾四期,1700,427.51,5室3厅,高,43.0,南,2012-01-01"
"粤海国际花园,272,118.53,4室2厅,中,11.0,北,2018-01-01"
"五洲花城三期,372,89.63,3室2厅,中,43.0,南,2020-01-01"
"中海寰宇天下,476,136.0,4室2厅,底,31.0,南北,2020-01-01"
"华发广场,405,89.0,3室2厅,中,45.0,南北,2018-01-01"
"海湾半山,399,165.0,3室2厅,低,31.0,东南,2018-01-01"
"五洲康城,280,132.26,3室2厅,底,11.0,南,2006-01-01"
"乐而居花园,268,140.0,4室2厅,高,27.0,南北,2019-01-01"
"华发世纪城四期,275,122.43,3室1厅,高,31.0,东南,2018-01-01"
"格力广场三期,279,112.37,2室2厅,低,48.0,南,2018-01-01"
"华发山庄,378,157.21,3室2厅,底,17.0,南北,2018-01-01"
"华发广场,466,105.0,3室2厅,中,45.0,南北,2018-01-01"
"利腾金力湾住宅,172,69.0,2室2厅,高,23.0,南,2021-01-01"
"中信红树湾一期,480,119.0,3室2厅,高,32.0,东南,2011-01-01"
"马赛公馆,178,46.46,3室1厅,底,19.0,东南,2018-01-01"
"金沙美地,119,50.04,1室1厅,低,18.0,东南,2018-01-01"
"都会四季,144,68.0,2室2厅,中,28.0,东南,2021-01-01"
"华发四季,380,107.06,3室2厅,低,18.0,南,2014-01-01"
"富力优派广场,38,37.0,1室1厅,中,26.0,南,2019-01-01"
"都会四季,209,99.0,4室2厅,中,28.0,南,2020-01-01"
"盛东·江山赋,870,325.3,5室2厅,低,48.0,南北,2020-01-01"
"粤海国际花园,320,142.39,4室2厅,底,11.0,南北,2018-01-01"
"云顶澜山,250,126.84,3室2厅,高,30.0,南,2000-01-01"
"九洲时代,209,120.1,3室2厅,中,20.0,东南,2018-01-01"
"山水华庭,195,113.86,3室1厅,底,11.0,南,2018-01-01"
"仁恒星园,500,167.3,4室2厅,低,18.0,南,2008-01-01"
"双瑞藏龙湾花园,305,115.0,3室2厅,中,48.0,南北,2013-01-01"
"鹏瑞·珠澳湾中心,170,75.0,1室1厅,高,40.0,南北,2023-01-01"
"凤凰公馆,225,92.0,3室2厅,高,21.0,南北,2020-01-01"
"正方深悦湾花园,175,77.0,3室2厅,高,25.0,南,2021-01-01"
"岭秀城,219,95.18,2室2厅,低,29.0,南,2018-01-01"
"绿景玺悦湾,428,143.0,4室2厅,高,19.0,南北,2021-01-01"
"万科金域缇香,249,120.29,4室2厅,底,28.0,南,2018-01-01"
"万科城,179,89.43,3室2厅,低,24.0,东南,2018-01-01"
"正方云曦山,219,98.0,4室2厅,中,32.0,南北,2021-01-01"
"富康花园,154,92.47,3室2厅,中,7.0,南北,2000-01-01"
"华发四季峰景,230,89.0,3室2厅,中,32.0,东南,2020-01-01"
"富华广场三期,360,152.88,4室2厅,低,25.0,南北,2018-01-01"
"御景国际花园,245,87.34,3室2厅,中,31.0,东南,2018-01-01"
"中安广场,98,61.0,1室1厅,中,26.0,北,2020-01-01"
"华发琴澳新城四季峰景,340,142.4,4室2厅,中,34.0,南北,2020-01-01"
"仁恒滨海中心,1499,304.6,4室2厅,顶,25.0,南北,2017-01-01"
"海湾德馨苑,248,101.74,3室2厅,底,7.0,东南,2018-01-01"
"富力优派广场,39,40.0,1室1厅,中,26.0,南,2019-01-01"
"仁恒星园,365,132.0,3室2厅,高,28.0,北,2008-01-01"
"岭秀城,155,48.0,1室1厅,中,32.0,南,2018-01-01"
"绿景玺悦湾,510,165.0,4室2厅,中,30.0,南北,2021-01-01"
"悦澜山,589,140.0,4室2厅,低,11.0,南北,2018-01-01"
"国维中央广场,72,37.0,1室2厅,中,32.0,南北,2020-01-01"
"格力广场三期,569,220.99,5室2厅,高,48.0,南,2018-01-01"
"万菱情侣湾一号,1530,346.9,5室2厅,高,39.0,南北,2017-01-01"
"正方深悦湾花园,218,95.0,3室2厅,中,23.0,南,2019-01-01"
"金域华府,410,97.0,4室2厅,底,32.0,南北,2003-01-01"
"凤山府,210,91.09,3室2厅,中,26.0,南,2019-01-01"
"乐而居花园,210,113.0,3室2厅,中,26.0,东南,2018-01-01"
"正方深悦湾花园,180,77.0,3室2厅,低,25.0,南,2022-01-01"
"绿景玺悦湾,436,143.0,4室2厅,中,19.0,南,2021-01-01"
"珠海恒大林溪郡,170,101.0,3室2厅,低,30.0,南,2020-01-01"
"岭秀城,298,120.54,3室2厅,高,31.0,东南,2018-01-01"
"景山一号,279,126.55,3室2厅,中,27.0,北,2018-01-01"
"国维中央广场,260,75.7,2室2厅,中,46.0,南北,2020-01-01"
"正方深悦湾花园,138,67.0,2室1厅,高,25.0,南,2021-01-01"
"双瑞藏龙湾花园,188,75.0,2室2厅,低,47.0,西南,2021-01-01"
"五洲康城,200,101.0,3室2厅,低,11.0,北,2006-01-01"
"中广海岸,1159,331.48,4室2厅,低,39.0,南北,2018-01-01"
"利腾金力湾住宅,99,40.0,1室1厅,中,26.0,南,2020-01-01"
"中珠上城,260,110.0,4室2厅,中,28.0,南,2018-01-01"
"乐而居花园,230,139.53,4室2厅,中,27.0,南北,2021-01-01"
"华发国际海岸新澳郡,128,51.0,1室2厅,中,30.0,南,2021-01-01"
"华发琴澳新城四季峰景,225,99.0,4室2厅,中,30.0,南北,2020-01-01"
"万菱情侣湾一号,999,194.26,3室2厅,中,38.0,南北,2019-01-01"
"岭秀城,298,120.54,3室2厅,高,31.0,东南,2018-01-01"
"利达新园,290,161.0,4室3厅,底,7.0,南,1998-01-01"
"万丰新园,210,142.29,3室2厅,高,11.0,北,1999-01-01"
"绿景玺悦湾,418,120.0,3室2厅,中,31.0,南,2020-01-01"
"中海寰宇天下,640,169.0,4室2厅,中,25.0,南北,2020-01-01"
"华发·湾玺壹号,1050,249.0,5室3厅,低,9.0,南北,2020-01-01"
"都会四季,177,68.0,2室2厅,中,28.0,南,2021-01-01"
"龙光·玖榕湾,299,120.78,3室2厅,高,32.0,南北,2020-01-01"
"建发央璟,300,93.35,3室2厅,中,31.0,南,2022-01-01"
"银石雅园,189,104.48,3室2厅,低,12.0,南,2018-01-01"
"中铁·诺德国际,340,109.4,3室2厅,高,39.0,东南,2016-01-01"
"绿景玺悦湾,888,258.0,5室2厅,低,32.0,南,2021-01-01"
"都会明珠,190,99.0,4室2厅,中,28.0,南北,2019-01-01"
"湾仔天一居,780,203.92,4室2厅,低,38.0,东南,2019-01-01"
"天宸,168,61.0,2室1厅,底,37.0,南北,2000-01-01"
"恒荣城市溪谷,240,98.0,3室2厅,高,37.0,南北,2018-01-01"
"恒荣城市溪谷,234,98.0,3室2厅,高,37.0,南北,2018-01-01"
"粤海国际花园,278,106.05,3室2厅,底,12.0,南,2018-01-01"
"岭秀城,279,129.03,3室2厅,高,25.0,南,2018-01-01"
"龙城花园,105,52.91,2室1厅,低,19.0,东,2018-01-01"
"中海寰宇天下,303,97.0,3室2厅,高,22.0,南北,2021-01-01"
"都会四季,168,79.0,3室2厅,中,24.0,南,2021-01-01"
"华发国际海岸新澳郡,290,109.0,3室2厅,中,31.0,南,2020-01-01"
"绿景玺悦湾,650,188.0,4室2厅,中,30.0,南北,2021-01-01"
"绿景玺悦湾,554,165.5,4室2厅,中,32.0,南北,2020-01-01"
"华发广场,370,89.0,3室2厅,高,26.0,南北,2020-01-01"
"绿景玺悦湾,556,165.0,4室2厅,中,30.0,南北,2021-01-01"
"华发世纪城四期,375,153.43,4室1厅,低,31.0,东南,2012-01-01"
"华发四季半岛钻石湾,500,177.0,3室2厅,中,31.0,南北,2020-01-01"
"都会四季,212,99.0,4室2厅,中,30.0,南北,2023-01-01"
"正方南湾首府,235,99.0,4室2厅,低,32.0,南北,2023-01-01"
"龙光·玖榕湾,215,97.0,3室2厅,中,32.0,南北,2020-01-01"
"湾仔天一居,448,116.0,2室2厅,中,31.0,南,2016-01-01"
"龙光·海悦云天,286,89.5,2室2厅,低,28.0,南,2012-01-01"
"利腾金力湾住宅,108,43.0,1室1厅,中,26.0,南,2019-01-01"
"天一居,678,178.7,3室2厅,中,29.0,南北,2015-01-01"
"双瑞藏龙湾花园,210,80.0,2室2厅,中,47.0,南,2017-01-01"
"国维中央广场,83,45.4,1室2厅,低,33.0,南北,2019-01-01"
"权英豪苑,380,123.04,3室2厅,中,12.0,南,2000-01-01"
"恒荣城市溪谷,350,139.0,4室2厅,高,37.0,南北,2018-01-01"
"琴澳新城四季半岛钻石,430,141.0,4室2厅,中,31.0,南北,2020-01-01"
"乐而居花园,230,140.1,4室2厅,中,33.0,南北,2019-01-01"
"华发琴澳新城四季峰景,205,89.0,3室2厅,中,32.0,南,2020-01-01"
"中海寰宇天下,420,129.0,4室2厅,中,22.0,南北,2020-01-01"
"乐而居花园,185,113.0,3室2厅,中,26.0,东南,2018-01-01"
"马赛公馆,167,46.39,3室2厅,低,19.0,东,2018-01-01"
"海湾半山,399,165.0,3室2厅,低,31.0,东南,2018-01-01"
"棕榈四季,190,93.0,3室2厅,低,20.0,南,2011-01-01"
"粤海国际花园,205,81.29,2室2厅,中,12.0,北,2018-01-01"
"锦园,458,181.45,4室2厅,高,31.0,东南,2018-01-01"
"中海寰宇天下,370,112.0,4室2厅,中,22.0,南北,2018-01-01"
"锦园,399,160.06,4室2厅,低,33.0,东南,2018-01-01"
"国维中央广场,121,67.9,1室2厅,低,33.0,南北,2019-01-01"
"湾仔天一居,1350,377.0,4室2厅,高,37.0,南北,2017-01-01"
"双瑞藏龙湾花园,298,95.0,3室2厅,高,47.0,南北,2019-01-01"
"双瑞藏龙湾花园,400,128.0,4室2厅,低,45.0,南北,2019-01-01"
"万菱情侣湾一号,1500,346.9,5室2厅,高,39.0,南北,2017-01-01"
"中安广场,94,61.0,1室1厅,中,26.0,南北,2017-01-01"
"中海寰宇天下,394,125.0,4室2厅,中,22.0,南北,2021-01-01"
"君怡花园,186,96.0,3室2厅,高,7.0,南,2018-01-01"
"龙园海湾雅苑,199,80.0,2室1厅,中,29.0,东南,2018-01-01"
"绿景喜悦荟,445,161.0,4室2厅,低,32.0,南,2019-01-01"
"仁恒星园,650,241.93,6室2厅,低,26.0,南北,2018-01-01"
"正方深悦湾花园,310,125.0,5室2厅,中,22.0,南北,2020-01-01"
"国维中央广场,272,88.0,3室2厅,中,32.0,东南,2019-01-01"
"中珠九悦,520,153.7,4室2厅,底,17.0,南,2012-01-01"
"中海寰宇天下,290,86.0,3室2厅,中,31.0,南北,2020-01-01"
"华发琴澳新城·银景湾,121,51.0,1室2厅,中,30.0,南,2020-01-01"
"中海寰宇天下,345,105.0,3室2厅,中,22.0,南北,2020-01-01"
"御景龙湖,510,144.49,4室2厅,中,18.0,南,2014-01-01"
"都会四季,211,99.0,4室2厅,中,28.0,南北,2020-01-01"
"中海寰宇天下,999,218.0,4室2厅,中,20.0,南北,2020-01-01"
"龙光·玖榕湾,260,106.35,3室2厅,低,32.0,南,2020-01-01"
"正方南湾首府,598,173.0,5室2厅,低,32.0,南北,2018-01-01"
"中海寰宇天下,280,86.0,3室2厅,低,22.0,南,2021-01-01"
"正方云曦山,850,187.0,5室2厅,顶,3.0,南北,2021-01-01"
"华发峰景湾,235,98.19,3室2厅,低,39.0,南北,2017-01-01"
"盛东·江山赋,400,155.0,3室2厅,高,28.0,南北,2018-01-01"
"五洲花城二期,800,185.51,4室2厅,中,32.0,南北,2012-01-01"
"华发广场,600,148.57,4室2厅,中,45.0,南北,2018-01-01"
"五洲康城,200,101.0,3室2厅,低,11.0,北,2006-01-01"
"珠海恒大林溪郡,138,89.0,3室2厅,中,30.0,南北,2017-01-01"
"优特绿城·桂语香山,640,169.87,4室2厅,中,32.0,南,2021-01-01"
"华发四季峰景,235,89.0,3室2厅,中,31.0,东南,2019-01-01"
"粤海国际花园,278,106.05,3室2厅,底,12.0,南,2018-01-01"
"曦华园,954,227.0,5室2厅,低,32.0,南北,2014-01-01"
"中海寰宇天下,269,86.0,3室2厅,高,22.0,南,2020-01-01"
"中海寰宇天下,900,218.0,4室2厅,高,20.0,南北,2020-01-01"
"春晖秋实苑,330,132.73,3室2厅,高,11.0,南,2006-01-01"
